Instance,Origin,Destination,ofdp,ilp,splitpath,ofdp3
0,0,8,27.0,27.0,27.0,27.0
0,0,10,None,None,None,None
0,0,11,None,None,None,None
0,0,12,None,None,None,None
0,0,13,None,None,None,None
0,0,14,None,None,None,None
0,0,15,82.0,83.0,83.0,98.0
0,0,16,96.0,96.0,96.0,96.0
0,0,17,99.0,100.0,100.0,115.0
0,0,18,104.0,105.0,106.0,117.0
0,0,19,99.0,100.0,102.0,121.0
0,0,20,None,None,None,None
0,0,21,99.0,99.0,99.0,125.0
0,0,22,99.0,99.0,99.0,99.0
0,0,23,102.0,102.0,105.0,122.0
0,0,24,99.0,99.0,102.0,119.0
0,0,27,None,None,None,None
0,0,29,None,None,None,None
0,0,30,31.0,31.0,31.0,43.0
0,0,32,29.0,30.0,30.0,46.0
0,0,33,35.0,35.0,35.0,35.0
0,0,34,32.0,32.0,32.0,47.0
0,0,35,None,None,None,None
0,0,36,None,None,None,None
0,0,37,None,None,None,None
0,0,38,None,None,None,None
0,0,39,None,None,None,None
0,0,40,68.0,69.0,69.0,79.0
0,0,41,87.0,87.0,87.0,87.0
0,0,42,85.0,86.0,88.0,104.0
0,0,43,95.0,95.0,95.0,109.0
0,0,44,84.0,85.0,86.0,95.0
0,0,45,102.0,102.0,102.0,102.0
0,0,46,103.0,103.0,103.0,103.0
0,0,47,102.0,102.0,102.0,122.0
0,0,48,105.0,105.0,106.0,121.0
0,0,49,100.0,101.0,102.0,122.0
0,0,60,43.0,43.0,43.0,47.0
0,0,61,47.0,48.0,48.0,59.0
0,0,62,75.0,76.0,76.0,89.0
0,0,63,78.0,78.0,78.0,78.0
0,0,64,62.0,62.0,62.0,62.0
0,0,65,75.0,76.0,78.0,92.0
0,0,66,73.0,73.0,73.0,90.0
0,0,67,93.0,94.0,94.0,113.0
0,0,68,90.0,91.0,91.0,104.0
0,0,69,93.0,94.0,94.0,111.0
0,0,70,None,None,None,None
0,0,71,None,None,None,None
0,0,72,None,None,None,None
0,0,73,None,None,None,None
0,0,74,None,None,None,None
0,0,85,None,None,None,None
0,0,86,None,None,None,None
0,0,87,None,None,None,None
0,0,88,None,None,None,None
0,0,89,None,None,None,None
0,0,90,90.0,90.0,90.0,90.0
0,0,91,81.0,82.0,83.0,93.0
0,0,92,88.0,89.0,91.0,101.0
0,0,93,92.0,92.0,92.0,95.0
0,0,94,89.0,89.0,89.0,89.0
0,0,95,110.0,111.0,114.0,127.0
0,0,96,102.0,103.0,105.0,121.0
0,0,97,120.0,121.0,121.0,135.0
0,0,98,118.0,119.0,121.0,134.0
0,0,99,116.0,116.0,119.0,124.0
0,1,8,28.0,28.0,28.0,42.0
0,1,10,None,None,None,None
0,1,11,None,None,None,None
0,1,12,None,None,None,None
0,1,13,None,None,None,None
0,1,14,None,None,None,None
0,1,15,82.0,84.0,84.0,88.0
0,1,16,96.0,96.0,96.0,118.0
0,1,17,99.0,100.0,100.0,122.0
0,1,18,104.0,106.0,106.0,122.0
0,1,19,99.0,101.0,101.0,111.0
0,1,20,None,None,None,None
0,1,21,99.0,99.0,99.0,119.0
0,1,22,99.0,99.0,99.0,120.0
0,1,23,102.0,102.0,104.0,116.0
0,1,24,99.0,99.0,101.0,99.0
0,1,27,None,None,None,None
0,1,29,None,None,None,None
0,1,35,None,None,None,None
0,1,36,None,None,None,None
0,1,37,None,None,None,None
0,1,38,None,None,None,None
0,1,39,None,None,None,None
0,1,40,68.0,70.0,70.0,80.0
0,1,41,87.0,87.0,87.0,112.0
0,1,42,85.0,87.0,87.0,94.0
0,1,43,95.0,95.0,95.0,95.0
0,1,44,84.0,86.0,86.0,98.0
0,1,45,102.0,102.0,102.0,123.0
0,1,46,103.0,103.0,103.0,126.0
0,1,47,102.0,102.0,102.0,113.0
0,1,48,105.0,105.0,106.0,132.0
0,1,49,100.0,102.0,102.0,113.0
0,1,60,41.0,41.0,41.0,41.0
0,1,61,47.0,48.0,48.0,48.0
0,1,62,75.0,77.0,77.0,80.0
0,1,63,78.0,78.0,78.0,80.0
0,1,64,62.0,62.0,62.0,73.0
0,1,65,75.0,76.0,77.0,76.0
0,1,66,73.0,73.0,73.0,75.0
0,1,67,93.0,94.0,95.0,108.0
0,1,68,90.0,91.0,91.0,104.0
0,1,69,93.0,94.0,95.0,110.0
0,1,70,None,None,None,None
0,1,71,None,None,None,None
0,1,72,None,None,None,None
0,1,73,None,None,None,None
0,1,74,None,None,None,None
0,1,85,None,None,None,None
0,1,86,None,None,None,None
0,1,87,None,None,None,None
0,1,88,None,None,None,None
0,1,89,None,None,None,None
0,1,90,90.0,90.0,90.0,104.0
0,1,91,81.0,83.0,83.0,100.0
0,1,92,88.0,90.0,90.0,103.0
0,1,93,92.0,92.0,92.0,109.0
0,1,94,89.0,89.0,89.0,91.0
0,1,95,110.0,111.0,113.0,120.0
0,1,96,102.0,104.0,105.0,111.0
0,1,97,120.0,121.0,121.0,141.0
0,1,98,118.0,120.0,120.0,136.0
0,1,99,116.0,116.0,119.0,133.0
0,2,8,27.0,27.0,27.0,27.0
0,2,10,None,None,None,None
0,2,11,None,None,None,None
0,2,12,None,None,None,None
0,2,13,None,None,None,None
0,2,14,None,None,None,None
0,2,15,82.0,83.0,85.0,98.0
0,2,16,96.0,96.0,96.0,96.0
0,2,17,99.0,100.0,100.0,122.0
0,2,18,104.0,105.0,106.0,113.0
0,2,19,99.0,100.0,102.0,121.0
0,2,20,None,None,None,None
0,2,21,99.0,99.0,99.0,121.0
0,2,22,99.0,99.0,99.0,99.0
0,2,23,102.0,102.0,102.0,122.0
0,2,24,99.0,99.0,99.0,119.0
0,2,27,None,None,None,None
0,2,29,None,None,None,None
0,2,35,None,None,None,None
0,2,36,None,None,None,None
0,2,37,None,None,None,None
0,2,38,None,None,None,None
0,2,39,None,None,None,None
0,2,40,68.0,69.0,69.0,79.0
0,2,41,87.0,87.0,87.0,87.0
0,2,42,85.0,86.0,88.0,104.0
0,2,43,95.0,95.0,95.0,109.0
0,2,44,84.0,85.0,86.0,91.0
0,2,45,102.0,102.0,102.0,102.0
0,2,46,103.0,103.0,103.0,103.0
0,2,47,102.0,102.0,102.0,122.0
0,2,48,105.0,105.0,106.0,117.0
0,2,49,100.0,101.0,102.0,122.0
0,2,60,43.0,43.0,43.0,53.0
0,2,61,47.0,48.0,48.0,54.0
0,2,62,75.0,76.0,77.0,85.0
0,2,63,78.0,78.0,79.0,78.0
0,2,64,62.0,62.0,62.0,62.0
0,2,65,75.0,76.0,78.0,87.0
0,2,66,73.0,73.0,73.0,74.0
0,2,67,93.0,94.0,96.0,94.0
0,2,68,90.0,91.0,91.0,91.0
0,2,69,93.0,94.0,96.0,111.0
0,2,70,None,None,None,None
0,2,71,None,None,None,None
0,2,72,None,None,None,None
0,2,73,None,None,None,None
0,2,74,None,None,None,None
0,2,85,None,None,None,None
0,2,86,None,None,None,None
0,2,87,None,None,None,None
0,2,88,None,None,None,None
0,2,89,None,None,None,None
0,2,90,90.0,90.0,90.0,104.0
0,2,91,81.0,82.0,83.0,100.0
0,2,92,88.0,89.0,91.0,103.0
0,2,93,92.0,92.0,92.0,109.0
0,2,94,89.0,89.0,89.0,89.0
0,2,95,110.0,111.0,114.0,123.0
